treatment,Another Country,Canada,India,The United States
AWA,0.0092,0.0092,0.17,0.82
AWNA,0,0.0098,0.14,0.85
PLA,0.03,0.01,0.1,0.86
PLNA,0.0096,0.0096,0.16,0.82
