treatment,18 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84
AWA,0.0092,0.31,0.32,0.2,0.092,0.055,0.0092
AWNA,0.0098,0.4,0.34,0.18,0.049,0.02,0
PLA,0.04,0.45,0.3,0.1,0.09,0.02,0
PLNA,0.038,0.36,0.36,0.14,0.077,0.029,0
